var_name,UniProt,gene_name
OID20321,O00584,RNASET2
OID20206,Q07108,CD69
OID20195,P35754,GLRX
OID20094,Q9H5Y7,SLITRK6
OID20216,P31431,SDC4
OID20106,P07585,DCN
OID20324,O75023,LILRB5
OID20299,P48745,CCN3
OID20381,P07359,GP1BA
OID20187,P41159,LEP
OID20202,Q9UK05,GDF2
OID20180,Q9GZM7,TINAGL1
OID20099,Q8NC01,CLEC1A
OID20281,Q86U17,SERPINA11
OID20385,P08887,IL6R
OID20097,P13807,GYS1
OID20300,Q9Y4L1,HYOU1
OID20383,P98160,HSPG2
OID20396,P19320,VCAM1
OID20159,P16112,ACAN
OID20120,Q96A56,TP53INP1
OID20154,P09382,LGALS1
OID20287,P17813,ENG
OID20401,Q16627,CCL14
OID20310,P10586,PTPRF
OID20265,O14798,TNFRSF10C
OID20148,Q9H773,DCTPP1
OID20279,Q9NQ79,CRTAC1
OID20071,O95183,VAMP5
OID20069,Q9Y2B0,CNPY2
OID20179,P27352,CBLIF
OID20286,P31146,CORO1A
OID20273,Q13740,ALCAM
OID20133,P16234,PDGFRA
OID20395,P55774,CCL18
OID20157,P55285,CDH6
OID20325,P18065,IGFBP2
OID20196,P21583,KITLG
OID20341,P20062,TCN2
OID20407,Q9Y5C1,ANGPTL3
OID20104,O75356,ENTPD5
OID20096,P20718,GZMH
OID20261,P04066,FUCA1
OID20138,O60496,DOK2
OID20175,Q9UBU3,GHRL
OID20144,O94903,PLPBP
OID20260,P48960,ADGRE5
OID20254,Q14767,LTBP2
OID20113,P09668,CTSH
OID20302,P15907,ST6GAL1
OID20344,P59665,DEFA1B
OID20360,Q86VB7,CD163
OID20377,P08174,CD55
OID20143,O60664,PLIN3
OID20122,P00568,AK1
OID20167,Q969P0,IGSF8
OID20408,P41222,PTGDS
OID20359,P24821,TNC
OID20410,P06681,C2
OID20109,Q13444,ADAM15
OID20290,P16581,SELE
OID20257,Q5VY43,PEAR1
OID20107,Q04760,GLO1
OID20312,Q13231,CHIT1
OID20314,P13686,ACP5
OID20386,P00441,SOD1
OID20292,P12111,COL6A3
OID20350,P15144,ANPEP
OID20241,P22748,CA4
OID20358,P07339,CTSD
OID20266,P48304,REG1B
OID20413,P24592,IGFBP6
OID20203,P12724,RNASE3
OID20220,P01241,GH1
OID20171,Q8NI22,MCFD2
OID20100,O75354,ENTPD6
OID20050,P19429,TNNI3
OID20101,P05231,IL6
OID20361,Q14515,SPARCL1
OID20077,Q15831,STK11
OID20379,P16109,SELP
OID20293,Q15828,CST6
OID20194,P52888,THOP1
OID20387,O75015,FCGR3B
OID20210,Q9UEW3,MARCO
OID20389,Q16853,AOC3
OID20307,Q12860,CNTN1
OID20212,Q9BQR3,PRSS27
OID20217,P09601,HMOX1
OID20372,P08709,F7
OID20205,Q9NQX5,NPDC1
OID20289,P15086,CPB1
OID20199,P23526,AHCY
OID20340,P19961,AMY2B
OID20231,P07204,THBD
OID20211,O95841,ANGPTL1
OID20208,P02462,COL4A1
OID20219,Q8IW75,SERPINA12
OID20166,P08263,GSTA1
OID20200,P12104,FABP2
OID20262,Q9NNX6,CD209
OID20259,P55808,XG
OID20320,Q16769,QPCT
OID20270,Q96AP7,ESAM
OID20280,P15085,CPA1
OID20222,Q92692,NECTIN2
OID20335,P02452,COL1A1
OID20224,Q01973,ROR1
OID20322,P10451,SPP1
OID20189,Q8IZP9,ADGRG2
OID20232,Q16773,KYAT1
OID20188,P06858,LPL
OID20163,O75340,PDCD6
OID20051,P61978,HNRNPK
OID20127,Q6PJW8,CNST
OID20131,Q9H7M9,VSIR
OID20118,P09496,CLTA
OID20066,P34947,GRK5
OID20053,P08670,VIM
OID20119,P34913,EPHX2
OID20049,P16860,NPPB
OID20309,P20160,AZU1
OID20121,Q9Y4X3,CCL27
OID20058,O95988,TCL1B
OID20256,P04275,VWF
OID20147,P40189,IL6ST
OID20238,P55058,PLTP
OID20160,Q9ULL4,PLXNB3
OID20061,Q16619,CTF1
OID20151,Q13158,FADD
OID20235,Q8NBP7,PCSK9
OID20323,Q8NHL6,LILRB1
OID20417,Q15582,TGFBI
OID20305,P42574,CASP3
OID20284,P17931,LGALS3
OID20393,P20023,CR2
OID20278,Q07507,DPT
OID20078,O60635,TSPAN1
OID20366,O00533,CHL1
OID20052,P17676,CEBPB
OID20252,P04054,PLA2G1B
OID20140,Q13043,STK4
OID20285,Q9H1U4,MEGF9
OID20132,O14917,PCDH17
OID20348,O95998,IL18BP
OID20209,A6NI73,LILRA5
OID20291,P19021,PAM
OID20318,Q14393,GAS6
OID20156,P41218,MNDA
OID20240,P01130,LDLR
OID20269,P08581,MET
OID20184,Q9NR28,DIABLO
OID20190,Q9Y286,SIGLEC7
OID20123,P09525,ANXA4
OID20126,Q05315,CLC
OID20245,P15090,FABP4
OID20337,P42785,PRCP
OID20226,Q76M96,CCDC80
OID20092,Q99549,MPHOSPH8
OID20331,P23284,PPIB
OID20214,P35247,SFTPD
OID20316,P25445,FAS
OID20161,Q06418,TYRO3
OID20125,NTproBNP,NTproBNP
OID20087,P09237,MMP7
OID20064,P36952,SERPINB5
OID20164,P51693,APLP1
OID20191,O95502,NPTXR
OID20295,P80370,DLK1
OID20142,Q9UHL4,DPP7
OID20236,Q16270,IGFBP7
OID20137,Q03154,ACY1
