var_names,gene_name
P43320,CRYBB2
P04049,RAF1
P51814,ZNF41
P19419,ELK1
P43080,GUCA1A
Q01968,OCRL
O95238,SPDEF
Q99LC4,Igh
O43623,SNAI2
Q13303,KCNAB2
Q99LC4.1,Igh
Q9Y253,POLH
P11473,VDR
Q86XE5,HOGA1
Q9UIF7,MUTYH
Q99LC4.2,Igh
Q13115,DUSP4
Q9H4I2,ZHX3
Q96PQ1,SIGLEC12
Q9H3D4,TP63
P41235,HNF4A
Q96BR1,SGK3
O60885,BRD4
Q9GZT5,WNT10A
Q13618,CUL3
Q13490,BIRC2
P19878,NCF2
Q13951,CBFB
P54274,TERF1
Q13418,ILK
Q9H2C0,GAN
Q08050,FOXM1
P54725,RAD23A
Q9NW38,FANCL
O75884,RBBP9
P16885,PLCG2
Q9NUW8,TDP1
P25440,BRD2
Q9BR61,ACBD6
O00189,AP4M1
O95817,BAG3
Q14232,EIF2B1
Q9UPW6,SATB2
P07196,NEFL
P49675,STAR
P35520,CBS
P02489,CRYAA
P07741,APRT
O95671,ASMTL
Q9UNE7,STUB1
P09104,ENO2
Q8N2W9,PIAS4
Q13651,IL10RA
P40763,STAT3
P05412,JUN
P00973,OAS1
P01106,MYC
P84022,SMAD3
Q15796,SMAD2
"P29460, Q9NPF7",IL12B
P16234,PDGFRA
"P29459,  P29460",IL12A
P42224,STAT1
P42226,STAT6
Q9ULT6,ZNRF3
Q9Y5C1,ANGPTL3
Q07820,MCL1
Q99LC4.3,Igh
Q86Y82,STX12
Q6ZMJ2,SCARA5
Q9NQX5,NPDC1
O43286,B4GALT5
O14653,GOSR2
Q99LC4.4,Igh
P43631,KIR2DS2
P08195,SLC3A2
Q3SXP7,SHISAL1
P20933,AGA
P15509,CSF2RA
Q9H6B4,CLMP
Q8WZ59,TMEM190
O95445,APOM
Q9H361,PABPC3
Q6UWI4,SHISA2
Q02818,NUCB1
Q99LC4.5,Igh
Q6UY09,CEACAM20
Q9Y2G8,DNAJC16
Q6EBC2,IL31
Q99LC4.6,Igh
Q9Y5Q6,INSL5
Q9H6X2,ANTXR1
Q99LC4.7,Igh
Q99LC4.8,Igh
Q99LC4.9,Igh
Q99LC4.10,Igh
P43358,MAGEA4
Q99LC4.11,Igh
P04843,RPN1
Q99LC4.12,Igh
Q99LC4.13,Igh
Q99LC4.14,Igh
A8K7I4,CLCA1
Q99LC4.15,Igh
Q96A25,TMEM106A
Q99LC4.16,Igh
Q99LC4.17,Igh
Q99LC4.18,Igh
Q99LC4.19,Igh
O15173,PGRMC2
P26436,ACRV1
Q6UWF3,SCIMP
P12111,COL6A3
P32927,CSF2RB
Q9Y2W7,KCNIP3
P41222,PTGDS
Q99LC4.20,Igh
Q99LC4.21,Igh
Q9BRK3,MXRA8
Q99LC4.22,Igh
Q08211,DHX9
Q99LC4.23,Igh
P28072,PSMB6
P01111,NRAS
Q99LC4.24,Igh
P09874,PARP1
Q02221,COX6A2
Q8TCZ2,CD99L2
Q8WU66,TSPEAR
Q99LC4.25,Igh
Q99LC4.26,Igh
O00238,BMPR1B
O43561,LAT
O43908,KLRC4
Q8NFQ8,TOR1AIP2
P16278,GLB1
Q8N6K0,TEX29
Q9HC56,PCDH9
Q9NQX7,ITM2C
Q96LB9,PGLYRP3
Q8NC67,NETO2
Q7Z3D4,LYSMD3
O94933,SLITRK3
P55001,MFAP2
P26572,MGAT1
O60676,CST8
P61769,B2M
Q9UHX1,PUF60
Q6UW10,SFTA2
Q9H5K3,POMK
Q6UXF1,TMEM108
O43181,NDUFS4
Q9UNP4,ST3GAL5
Q5VY80,RAET1L
Q99LC4.27,Igh
O14967,CLGN
P15516,HTN3
Q9HDC9,APMAP
Q5JTV8,TOR1AIP1
Q99LC4.28,Igh
P15515,HTN1
Q99LC4.29,Igh
O60568,PLOD3
Q6P4E1,GOLM2
P25189,MPZ
Q9NZ53,PODXL2
P98164,LRP2
P08118,MSMB
Q569H4,PRR16
Q99LC4.30,Igh
P15941,MUC1
Q1W4C9,SPINK13
Q06481,APLP2
Q9BUP3,HTATIP2
Q6UXG2,ELAPOR1
Q9BSI4,TINF2
Q99LC4.31,Igh
Q99LC4.32,Igh
Q96PB7,OLFM3
Q99LC4.33,Igh
Q8N9N2,ASCC1
Q99LC4.34,Igh
Q99LC4.35,Igh
Q99LC4.36,Igh
Q99LC4.37,Igh
Q99LC4.38,Igh
O15503,INSIG1
Q99LC4.39,Igh
Q9UJJ9,GNPTG
Q5T7R7,C1orf185
Q12846,STX4
Q99LC4.40,Igh
P07988,SFTPB
Q9Y320,TMX2
O95168,NDUFB4
Q99LC4.41,Igh
A4D1S0,KLRG2
Q8IUB3,WFDC10B
Q07954,LRP1
Q5DX21,IGSF11
Q99LC4.42,Igh
Q2UY09,COL28A1
Q9H7L9,SUDS3
Q12912,IRAG2
Q8NDV1,ST6GALNAC3
O43555,GNRH2
Q6X784,ZPBP2
A8K4G0,CD300LB
P12821,ACE
Q99LC4.43,Igh
Q16401,PSMD5
