sample_id,feature,response_group,subtype,cohort,gtpm
SYN_01,GENE_A,NonResponder,Subtype A,Cohort 1,6
SYN_02,GENE_A,NonResponder,Subtype B,Cohort 2,9
SYN_03,GENE_A,NonResponder,Subtype C,Cohort 1,11
SYN_04,GENE_A,NonResponder,Subtype A,Cohort 2,13
SYN_05,GENE_A,NonResponder,Subtype B,Cohort 1,15
SYN_06,GENE_A,NonResponder,Subtype C,Cohort 2,17
SYN_07,GENE_A,NonResponder,Subtype A,Cohort 1,19
SYN_08,GENE_A,NonResponder,Subtype B,Cohort 2,22
SYN_09,GENE_A,NonResponder,Subtype C,Cohort 1,10
SYN_10,GENE_A,NonResponder,Subtype A,Cohort 2,16
SYN_11,GENE_A,NonResponder,Subtype B,Cohort 1,20
SYN_12,GENE_A,NonResponder,Subtype C,Cohort 2,24
SYN_13,GENE_A,Responder,Subtype A,Cohort 2,12
SYN_14,GENE_A,Responder,Subtype B,Cohort 1,15
SYN_15,GENE_A,Responder,Subtype C,Cohort 2,17
SYN_16,GENE_A,Responder,Subtype A,Cohort 1,19
SYN_17,GENE_A,Responder,Subtype B,Cohort 2,21
SYN_18,GENE_A,Responder,Subtype C,Cohort 1,23
SYN_19,GENE_A,Responder,Subtype A,Cohort 2,25
SYN_20,GENE_A,Responder,Subtype B,Cohort 1,28
SYN_21,GENE_A,Responder,Subtype C,Cohort 2,16
SYN_22,GENE_A,Responder,Subtype A,Cohort 1,22
SYN_23,GENE_A,Responder,Subtype B,Cohort 2,26
SYN_24,GENE_A,Responder,Subtype C,Cohort 1,30
SYN_01,GENE_B,NonResponder,Subtype A,Cohort 1,28
SYN_02,GENE_B,NonResponder,Subtype B,Cohort 2,30
SYN_03,GENE_B,NonResponder,Subtype C,Cohort 1,32
SYN_04,GENE_B,NonResponder,Subtype A,Cohort 2,34
SYN_05,GENE_B,NonResponder,Subtype B,Cohort 1,36
SYN_06,GENE_B,NonResponder,Subtype C,Cohort 2,39
SYN_07,GENE_B,NonResponder,Subtype A,Cohort 1,27
SYN_08,GENE_B,NonResponder,Subtype B,Cohort 2,33
SYN_09,GENE_B,NonResponder,Subtype C,Cohort 1,37
SYN_10,GENE_B,NonResponder,Subtype A,Cohort 2,41
SYN_11,GENE_B,NonResponder,Subtype B,Cohort 1,23
SYN_12,GENE_B,NonResponder,Subtype C,Cohort 2,26
SYN_13,GENE_B,Responder,Subtype A,Cohort 2,19
SYN_14,GENE_B,Responder,Subtype B,Cohort 1,21
SYN_15,GENE_B,Responder,Subtype C,Cohort 2,23
SYN_16,GENE_B,Responder,Subtype A,Cohort 1,25
SYN_17,GENE_B,Responder,Subtype B,Cohort 2,27
SYN_18,GENE_B,Responder,Subtype C,Cohort 1,30
SYN_19,GENE_B,Responder,Subtype A,Cohort 2,18
SYN_20,GENE_B,Responder,Subtype B,Cohort 1,24
SYN_21,GENE_B,Responder,Subtype C,Cohort 2,28
SYN_22,GENE_B,Responder,Subtype A,Cohort 1,32
SYN_23,GENE_B,Responder,Subtype B,Cohort 2,14
SYN_24,GENE_B,Responder,Subtype C,Cohort 1,17
SYN_01,GENE_C,NonResponder,Subtype A,Cohort 1,13
SYN_02,GENE_C,NonResponder,Subtype B,Cohort 2,15
SYN_03,GENE_C,NonResponder,Subtype C,Cohort 1,17
SYN_04,GENE_C,NonResponder,Subtype A,Cohort 2,20
SYN_05,GENE_C,NonResponder,Subtype B,Cohort 1,8
SYN_06,GENE_C,NonResponder,Subtype C,Cohort 2,14
SYN_07,GENE_C,NonResponder,Subtype A,Cohort 1,18
SYN_08,GENE_C,NonResponder,Subtype B,Cohort 2,22
SYN_09,GENE_C,NonResponder,Subtype C,Cohort 1,4
SYN_10,GENE_C,NonResponder,Subtype A,Cohort 2,7
SYN_11,GENE_C,NonResponder,Subtype B,Cohort 1,9
SYN_12,GENE_C,NonResponder,Subtype C,Cohort 2,11
SYN_13,GENE_C,Responder,Subtype A,Cohort 2,14
SYN_14,GENE_C,Responder,Subtype B,Cohort 1,16
SYN_15,GENE_C,Responder,Subtype C,Cohort 2,18
SYN_16,GENE_C,Responder,Subtype A,Cohort 1,21
SYN_17,GENE_C,Responder,Subtype B,Cohort 2,9
SYN_18,GENE_C,Responder,Subtype C,Cohort 1,15
SYN_19,GENE_C,Responder,Subtype A,Cohort 2,19
SYN_20,GENE_C,Responder,Subtype B,Cohort 1,23
SYN_21,GENE_C,Responder,Subtype C,Cohort 2,5
SYN_22,GENE_C,Responder,Subtype A,Cohort 1,8
SYN_23,GENE_C,Responder,Subtype B,Cohort 2,10
SYN_24,GENE_C,Responder,Subtype C,Cohort 1,12
