,simulated_feature
obs_1,12.762348678181858
obs_2,11.312729975573102
obs_3,13.001824363753903
obs_4,13.703086949342953
obs_5,9.960083027717436
obs_6,13.81527952641716
obs_7,13.572842573202374
obs_8,14.063707807707244
obs_9,15.21074397830357
obs_10,15.582020779229117
obs_11,15.512391138187306
obs_12,12.625413725322764
obs_13,15.41250111344286
obs_14,13.540247134029741
obs_15,13.831779555351314
obs_16,15.458002743059332
obs_17,11.785218898646608
obs_18,13.71120884489513
obs_19,12.712493610002735
obs_20,11.553684520541985
obs_21,13.941471074273572
obs_22,14.640564701483656
obs_23,12.226828796830501
obs_24,14.995787411648237
obs_25,12.45987784379514
obs_26,12.166786678483462
obs_27,11.086318482587451
obs_28,12.449625257154901
obs_29,10.659353865844823
obs_30,16.10912106099852
obs_31,12.873490443958735
obs_32,10.019755503795748
obs_33,11.92876596713684
obs_34,15.553061797811615
obs_35,12.5118483405898
obs_36,15.647508283239722
obs_37,16.040681148555816
obs_38,14.07946301658021
obs_39,11.743078968350993
obs_40,13.208966268400072
obs_41,15.742664294179054
obs_42,11.715118713506625
obs_43,12.376794596540613
obs_44,11.200375441134556
obs_45,15.179591855091065
obs_46,11.700319177206557
obs_47,13.801736258920519
obs_48,15.54872698331517
obs_49,13.247015780450644
obs_50,13.343449574454512
obs_51,13.74719520947739
obs_52,13.972246221009115
obs_53,13.386650292407667
obs_54,13.588093236382413
obs_55,16.529030871277264
obs_56,12.873844022023123
obs_57,13.109919952295627
obs_58,15.37172215907001
obs_59,14.00510011951864
obs_60,12.048026272565158
obs_61,14.656159256739222
obs_62,13.523854244600818
obs_63,13.657972646549677
obs_64,13.57612405062027
obs_65,13.973094727348158
obs_66,14.057143472155126
obs_67,14.595759004126405
obs_68,12.653233603479189
obs_69,14.463929983492164
obs_70,12.28961488643521
obs_71,16.19488411866456
obs_72,12.950440485286641
obs_73,12.558653212066876
obs_74,14.389318271726728
obs_75,12.888125801689315
obs_76,15.377314744321517
obs_77,15.908275530054018
obs_78,14.86915783286034
obs_79,11.740397131634966
obs_80,13.19941468206234
obs_81,16.679151173213498
obs_82,14.778474087948002
obs_83,15.936823421249665
obs_84,13.963301228318464
obs_85,14.219839609166947
obs_86,12.462505788617523
obs_87,12.544036709295124
obs_88,11.376392197289553
obs_89,13.451248608676718
obs_90,12.340014218919539
obs_91,14.26515901412425
obs_92,11.21167969424139
obs_93,13.839511293905945
obs_94,13.185942214051453
obs_95,13.246494059661089
obs_96,12.865587686656912
obs_97,12.5178472562961
obs_98,14.366580083742097
obs_99,13.035113781357126
obs_100,12.86221133992042
