,simulated_feature
obs_1,14.500615076678741
obs_2,12.649372768754235
obs_3,14.36293107231889
obs_4,14.054704080621363
obs_5,12.27266460741414
obs_6,14.004176722501768
obs_7,14.53007180129872
obs_8,13.170107622777266
obs_9,14.253896740724336
obs_10,14.18976255009003
obs_11,14.744921025092598
obs_12,12.67844350408003
obs_13,14.55270712449895
obs_14,12.034765977645897
obs_15,14.485374088768364
obs_16,14.847651597229145
obs_17,11.82789272635746
obs_18,12.271192119479892
obs_19,13.549388630099578
obs_20,11.855231130107512
obs_21,13.579132481104134
obs_22,14.382454434462659
obs_23,13.866276759278149
obs_24,14.635632179410852
obs_25,12.578375543312113
obs_26,12.406534527685023
obs_27,11.241620144589744
obs_28,12.230653552076681
obs_29,12.475749527299463
obs_30,14.556654493001654
obs_31,13.734932117247304
obs_32,12.261123361983035
obs_33,12.01074046097168
obs_34,14.0955813802872
obs_35,13.03044931169304
obs_36,14.096232662334053
obs_37,14.48373914752724
obs_38,14.942194933691587
obs_39,14.208199783628348
obs_40,14.44414902520792
obs_41,14.55523207162474
obs_42,12.531890887127531
obs_43,13.887472086791153
obs_44,12.538070115188503
obs_45,15.17941171087077
obs_46,11.726427660935759
obs_47,12.929691344010799
obs_48,14.55967701284829
obs_49,14.179264802946388
obs_50,13.50020827317121
obs_51,14.881129856042357
obs_52,13.900355548947388
obs_53,14.537258114385732
obs_54,14.788344791835094
obs_55,14.405608937324626
obs_56,12.841455133597602
obs_57,12.466741339925292
obs_58,12.833623780417163
obs_59,13.219261295828076
obs_60,12.162168874497173
obs_61,14.601569305194804
obs_62,14.268346211730794
obs_63,12.563634205612916
obs_64,13.90640273607493
obs_65,12.210349201748663
obs_66,14.401902013597752
obs_67,14.949381936050205
obs_68,13.072611003727065
obs_69,13.838236103757872
obs_70,12.102678817006476
obs_71,14.823451711286712
obs_72,13.503790107912753
obs_73,12.268415067523817
obs_74,12.451356537164955
obs_75,13.128507488643411
obs_76,14.844701950285378
obs_77,14.336393289888901
obs_78,14.31571205295002
obs_79,12.374902299741038
obs_80,15.261764700228081
obs_81,14.285987528713566
obs_82,14.348159805817636
obs_83,14.676294533642633
obs_84,14.439614777456772
obs_85,12.401357886017138
obs_86,11.942966428424473
obs_87,12.494239265980726
obs_88,12.27820938851279
obs_89,13.083063888095111
obs_90,12.826544251350581
obs_91,14.487928193495033
obs_92,12.834190511633672
obs_93,14.330065224143425
obs_94,13.026063179213473
obs_95,14.497300219664186
obs_96,12.791691177090208
obs_97,11.854553377338256
obs_98,14.673340024439216
obs_99,13.655897941316729
obs_100,13.482335527530033
