var_names,OlinkID,Assay,UniProt,Panel,Panel_Version,Protein target,Short name,gene_name
OID20321,OID20321,RNASET2,O00584,CARDIOMETABOLIC,1,Ribonuclease T2 ,RNASET2,RNASET2
OID20206,OID20206,CD69,Q07108,CARDIOMETABOLIC,1,Early activation antigen CD69 ,CD69,CD69
OID20195,OID20195,GLRX,P35754,CARDIOMETABOLIC,1,Glutaredoxin-1 ,GLRX,GLRX
OID20094,OID20094,SLITRK6,Q9H5Y7,CARDIOMETABOLIC,1,SLIT and NTRK-like protein 6,SLITRK6,SLITRK6
OID20216,OID20216,SDC4,P31431,CARDIOMETABOLIC,1,Syndecan-4 ,SDC4,SDC4
OID20106,OID20106,DCN,P07585,CARDIOMETABOLIC,1,Decorin ,DCN,DCN
OID20324,OID20324,LILRB5,O75023,CARDIOMETABOLIC,1,Leukocyte immunoglobulin-like receptor subfamily B member 5 ,LILRB5,LILRB5
OID20299,OID20299,CCN3,P48745,CARDIOMETABOLIC,1,CCN family member 3 ,CCN3,CCN3
OID20381,OID20381,GP1BA,P07359,CARDIOMETABOLIC,1,Platelet glycoprotein Ib alpha chain ,GP1BA,GP1BA
OID20187,OID20187,LEP,P41159,CARDIOMETABOLIC,1,Leptin ,LEP,LEP
OID20202,OID20202,GDF2,Q9UK05,CARDIOMETABOLIC,1,Growth/differentiation factor 2 ,GDF2,GDF2
OID20180,OID20180,TINAGL1,Q9GZM7,CARDIOMETABOLIC,1,Tubulointerstitial nephritis antigen-like ,TINAGL1,TINAGL1
OID20099,OID20099,CLEC1A,Q8NC01,CARDIOMETABOLIC,1,C-type lectin domain family 1 member A ,CLEC1A,CLEC1A
OID20281,OID20281,SERPINA11,Q86U17,CARDIOMETABOLIC,1,Serpin A11,SERPINA11,SERPINA11
OID20385,OID20385,IL6R,P08887,CARDIOMETABOLIC,1,Interleukin-6 receptor subunit alpha ,IL6R,IL6R
OID20097,OID20097,GYS1,P13807,CARDIOMETABOLIC,1,"Glycogen [starch] synthase, muscle ",GYS1,GYS1
OID20300,OID20300,HYOU1,Q9Y4L1,CARDIOMETABOLIC,1,Hypoxia up-regulated protein 1 ,HYOU1,HYOU1
OID20383,OID20383,HSPG2,P98160,CARDIOMETABOLIC,1,Basement membrane-specific heparan sulfate proteoglycan core protein ,HSPG2,HSPG2
OID20396,OID20396,VCAM1,P19320,CARDIOMETABOLIC,1,Vascular cell adhesion protein 1 ,VCAM1,VCAM1
OID20159,OID20159,ACAN,P16112,CARDIOMETABOLIC,1,Aggrecan core protein ,ACAN,ACAN
OID20120,OID20120,TP53INP1,Q96A56,CARDIOMETABOLIC,1,Tumor protein p53-inducible nuclear protein 1 ,TP53INP1,TP53INP1
OID20154,OID20154,LGALS1,P09382,CARDIOMETABOLIC,1,Galectin-1 ,LGALS1,LGALS1
OID20287,OID20287,ENG,P17813,CARDIOMETABOLIC,1,Endoglin ,ENG,ENG
OID20401,OID20401,CCL14,Q16627,CARDIOMETABOLIC,1,C-C motif chemokine 14 ,CCL14,CCL14
OID20310,OID20310,PTPRF,P10586,CARDIOMETABOLIC,1,Receptor-type tyrosine-protein phosphatase F ,PTPRF,PTPRF
OID20265,OID20265,TNFRSF10C,O14798,CARDIOMETABOLIC,1,Tumor necrosis factor receptor superfamily member 10C ,TNFRSF10C,TNFRSF10C
OID20148,OID20148,DCTPP1,Q9H773,CARDIOMETABOLIC,1,dCTP pyrophosphatase 1 ,DCTPP1,DCTPP1
OID20279,OID20279,CRTAC1,Q9NQ79,CARDIOMETABOLIC,1,Cartilage acidic protein 1 ,CRTAC1,CRTAC1
